brand_name,generic_name,Company_Name,Serious_Adverse_Effects,Contraindications,Monitoring_Required
Glucomol,Timolol,Allergan,"Bronchospasm, severe bradycardia, hypotension, heart block, worsening heart failure","Bronchial asthma, severe COPD, sinus bradycardia, second/third-degree AV block, overt cardiac failure","IOP, heart rate, blood pressure, respiratory function"
Lumigan,Bimatoprost,Allergan,"Cystoid macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to bimatoprost or formulation components,"Intraocular pressure (IOP), iris pigmentation, eyelash changes, ocular inflammation"
Glucotim LA,Timolol,Centaur Pharmaceuticles,"Bronchospasm, severe bradycardia, hypotension, heart block, worsening heart failure","Bronchial asthma, severe COPD, sinus bradycardia, second/third-degree AV block, overt cardiac failure","IOP, heart rate, blood pressure, respiratory function"
9PM,Latanoprost,Cipla,"Macular edema, herpetic keratitis reactivation, uveitis",Hypersensitivity to latanoprost,"IOP, optic nerve status, iris pigmentation, ocular inflammation"
Brimodin,Brimonidine,Cipla,"Severe hypersensitivity, hypotension, CNS depression (rare)","Neonates and infants (<2 years), MAO inhibitor therapy, hypersensitivity","IOP, blood pressure, ocular allergy, CNS effects"
Brimodin P,Brimonidine,Cipla,"Severe hypersensitivity, hypotension, CNS depression (rare)","Neonates and infants (<2 years), MAO inhibitor therapy, hypersensitivity","IOP, blood pressure, ocular allergy, CNS effects"
Brimodine B,Brinzolamide+ Brimonidine,Cipla,"Severe allergic conjunctivitis, hypotension (rare), hypersensitivity reactions","Hypersensitivity, severe renal impairment, MAO inhibitor therapy","IOP, ocular allergy, renal function, blood pressure"
Brimolol,Brimonidine + Timolol,Cipla,"Bronchospasm, severe bradycardia, heart block, severe allergic conjunctivitis","Asthma, severe COPD, sinus bradycardia, AV block, MAO inhibitor therapy, hypersensitivity","IOP, heart rate, blood pressure, respiratory function, ocular allergy"
Dorzox,Dorzolamide,Cipla,"Stevens–Johnson syndrome (rare), toxic epidermal necrolysis, corneal edema","Severe renal impairment (CrCl <30 mL/min), sulfonamide hypersensitivity","IOP, renal function (if indicated), ocular irritation, corneal status"
Dorzox T,Dorzolamide + Timolol,Cipla,"Bronchospasm, severe bradycardia, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)","Asthma, severe COPD, sinus bradycardia, AV block, severe renal impairment (CrCl <30 mL/min), sulfonamide hypersensitivity","IOP, renal function (when clinically indicated), heart rate, blood pressure, respiratory status, ocular irritation"
Ioprost,Latanoprost,Cipla,"Macular edema, herpetic keratitis reactivation, uveitis",Hypersensitivity to latanoprost,"IOP, optic nerve status, iris pigmentation, ocular inflammation"
Optipres,Betaxolol,Cipla,"Bradycardia, hypotension, heart block (rare), bronchospasm (less common than timolol)","Sinus bradycardia, second/third-degree AV block, overt cardiac failure, hypersensitivity","IOP, heart rate, blood pressure, respiratory symptoms"
Abpress Eye,Brimonidine+ Timolol,Entod Pharmaceuticals,"Bronchospasm, severe bradycardia, heart block, severe allergic conjunctivitis","Asthma, severe COPD, sinus bradycardia, AV block, MAO inhibitor therapy, hypersensitivity","IOP, heart rate, blood pressure, respiratory function, ocular allergy"
Duo 2,Brinzolamide+ Brimonidine,Entod Pharmaceuticals,"Severe allergic conjunctivitis, hypotension (rare), hypersensitivity reactions","Hypersensitivity, severe renal impairment, MAO inhibitor therapy","IOP, ocular allergy, renal function, blood pressure"
Endor Plus,Dorzolamide + Timolol,Entod Pharmaceuticals,"Bronchospasm, severe bradycardia, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)","Asthma, severe COPD, sinus bradycardia, AV block, severe renal impairment (CrCl <30 mL/min), sulfonamide hypersensitivity","IOP, renal function (when clinically indicated), heart rate, blood pressure, respiratory status, ocular irritation"
Ocudor T,Dorzolamide + Timolol,Entod Pharmaceuticals,"Bronchospasm, severe bradycardia, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)","Asthma, severe COPD, sinus bradycardia, AV block, severe renal impairment (CrCl <30 mL/min), sulfonamide hypersensitivity","IOP, renal function (when clinically indicated), heart rate, blood pressure, respiratory status, ocular irritation"
Timol-P,Timolol,Entod Pharmaceuticals,"Bronchospasm, severe bradycardia, hypotension, heart block, worsening heart failure","Bronchial asthma, severe COPD, sinus bradycardia, second/third-degree AV block, overt cardiac failure","IOP, heart rate, blood pressure, respiratory function"
Iobet,Betaxolol,FDC ltd.,"Bradycardia, hypotension, heart block (rare), bronchospasm (less common than timolol)","Sinus bradycardia, second/third-degree AV block, overt cardiac failure, hypersensitivity","IOP, heart rate, blood pressure, respiratory symptoms"
Iobrim,Brimonidine,FDC ltd.,"Severe hypersensitivity, hypotension, CNS depression (rare)","Neonates and infants (<2 years), MAO inhibitor therapy, hypersensitivity","IOP, blood pressure, ocular allergy, CNS effects"
Iopar-SR Capsule,Acetazolamide,FDC ltd.,"Metabolic acidosis, severe electrolyte imbalance, nephrolithiasis, aplastic anemia (rare), Stevens–Johnson syndrome (rare)","Severe renal impairment, severe hepatic disease, adrenal insufficiency, hyponatremia, hypokalemia, sulfonamide hypersensitivity","Renal function, liver function, serum electrolytes, bicarbonate, complete blood count, IOP"
Iotim,Timolol,FDC ltd.,"Bronchospasm, severe bradycardia, hypotension, heart block, worsening heart failure","Bronchial asthma, severe COPD, sinus bradycardia, second/third-degree AV block, overt cardiac failure","IOP, heart rate, blood pressure, respiratory function"
Pilocar,Pilocarpine,FDC ltd.,"Retinal detachment (rare), retinal tears, severe accommodative spasm","Active uveitis, retinal detachment risk, hypersensitivity","IOP, retinal examination, visual acuity, pupil size"
Pilocar 4%,Pilocarpine,FDC ltd.,"Retinal detachment (rare), retinal tears, severe accommodative spasm","Active uveitis, retinal detachment risk, hypersensitivity","IOP, retinal examination, visual acuity, pupil size"
Zytrav,Travoprost,FDC ltd.,"Macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to travoprost or excipients,"IOP, iris pigmentation, ocular surface changes, signs of inflammation"
Alphabet PF,Timolol + Brimonidine,His Eyeness,"Bronchospasm, severe bradycardia, heart block, severe allergic conjunctivitis","Asthma, severe COPD, sinus bradycardia, AV block, MAO inhibitor therapy, hypersensitivity","IOP, heart rate, blood pressure, respiratory function, ocular allergy"
Awerene PF,Travoprost,His Eyeness,"Macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to travoprost or excipients,"IOP, iris pigmentation, ocular surface changes, signs of inflammation"
Dorbet PF,Dorzolamide+ Timolol,His Eyeness,"Bronchospasm, severe bradycardia, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)","Asthma, severe COPD, sinus bradycardia, AV block, severe renal impairment (CrCl <30 mL/min), sulfonamide hypersensitivity","IOP, renal function (when clinically indicated), heart rate, blood pressure, respiratory status, ocular irritation"
Brimochek,Brimonidine,Indoco Remedies,"Severe hypersensitivity, hypotension, CNS depression (rare)","Neonates and infants (<2 years), MAO inhibitor therapy, hypersensitivity","IOP, blood pressure, ocular allergy, CNS effects"
Lashisma,Bimatoprost,Intas Pharmaceuticals,"Cystoid macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to bimatoprost or formulation components,"Intraocular pressure (IOP), iris pigmentation, eyelash changes, ocular inflammation"
Dortas-T,Dorzolamide+ Timolol,IntasPharmaceuticle,"Bronchospasm, severe bradycardia, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)","Asthma, severe COPD, sinus bradycardia, AV block, severe renal impairment (CrCl <30 mL/min), sulfonamide hypersensitivity","IOP, renal function (when clinically indicated), heart rate, blood pressure, respiratory status, ocular irritation"
Intraprost (Eye),Bimatoprost,IntasPharmaceuticle,"Cystoid macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to bimatoprost or formulation components,"Intraocular pressure (IOP), iris pigmentation, eyelash changes, ocular inflammation"
Timolong,Timolol,IntasPharmaceuticle,"Bronchospasm, severe bradycardia, hypotension, heart block, worsening heart failure","Bronchial asthma, severe COPD, sinus bradycardia, second/third-degree AV block, overt cardiac failure","IOP, heart rate, blood pressure, respiratory function"
Azarga,Brinzolamide + Timolol,Ipca Pharma,"Bronchospasm, severe bradycardia, heart block, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)","Bronchial asthma, severe COPD, sinus bradycardia, second/third-degree AV block, severe renal impairment (CrCl <30 mL/min), sulfonamide hypersensitivity","IOP, renal function (when clinically indicated), heart rate, blood pressure, respiratory status, ocular surface irritation"
Azopt,Brinzolamide,Ipca Pharma,"Severe hypersensitivity, hypotension, CNS depression (rare)","Neonates and infants (<2 years), MAO inhibitor therapy, hypersensitivity","IOP, blood pressure, ocular allergy, CNS effects"
Netasudil,Netarsudil,Ipca Pharma,"Severe hypersensitivity reactions (rare), significant corneal epithelial changes (rare)","Severe hypersensitivity reactions (rare), significant corneal epithelial changes (rare)","IOP, conjunctival hyperemia, corneal examination (for verticillata), visual acuity, ocular tolerability"
Brimorx,Brimonidine,Irx Pharmaceuticals,"Severe hypersensitivity, hypotension, CNS depression (rare)","Neonates and infants (<2 years), MAO inhibitor therapy, hypersensitivity","IOP, blood pressure, ocular allergy, CNS effects"
Dorzorx-T,Dorzolmide+Timolol,Irx Pharmaceuticals,"Bronchospasm, severe bradycardia, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)","Asthma, severe COPD, sinus bradycardia, AV block, severe renal impairment (CrCl <30 mL/min), sulfonamide hypersensitivity","IOP, renal function (when clinically indicated), heart rate, blood pressure, respiratory status, ocular irritation"
Timotic,Timolol,Jaqson Helathcare,"Bronchospasm, severe bradycardia, hypotension, heart block, worsening heart failure","Bronchial asthma, severe COPD, sinus bradycardia, second/third-degree AV block, overt cardiac failure","IOP, heart rate, blood pressure, respiratory function"
Bexol Eye,Betaxolol,Jawa Pharmac,"Bradycardia, hypotension, heart block (rare), bronchospasm (less common than timolol)","Sinus bradycardia, second/third-degree AV block, overt cardiac failure, hypersensitivity","IOP, heart rate, blood pressure, respiratory symptoms"
Dortim,Dorzolamide+ Timolol,Jawa Pharmac,"Bronchospasm, severe bradycardia, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)","Asthma, severe COPD, sinus bradycardia, AV block, severe renal impairment (CrCl <30 mL/min), sulfonamide hypersensitivity","IOP, renal function (when clinically indicated), heart rate, blood pressure, respiratory status, ocular irritation"
Lupitros Z,Travoprost,Lupin,"Macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to travoprost or excipients,"IOP, iris pigmentation, ocular surface changes, signs of inflammation"
Timoblu,Timolol,Lupin,"Bronchospasm, severe bradycardia, hypotension, heart block, worsening heart failure","Bronchial asthma, severe COPD, sinus bradycardia, second/third-degree AV block, overt cardiac failure","IOP, heart rate, blood pressure, respiratory function"
Acetamide,Acetazolamide,Microlabs Ltd.,"Metabolic acidosis, severe electrolyte imbalance, nephrolithiasis, aplastic anemia (rare), Stevens–Johnson syndrome (rare)","Severe renal impairment, severe hepatic disease, adrenal insufficiency, hyponatremia, hypokalemia, sulfonamide hypersensitivity","Renal function, liver function, serum electrolytes, bicarbonate, complete blood count, IOP"
Betafree,Brimonidine+ Brinzolamide,Microlabs Ltd.,"Severe allergic conjunctivitis, hypotension (rare), hypersensitivity reactions","Hypersensitivity, severe renal impairment, MAO inhibitor therapy","IOP, ocular allergy, renal function, blood pressure"
Betafree LS,Brimonidine+ Brinzolamide,Microlabs Ltd.,"Severe allergic conjunctivitis, hypotension (rare), hypersensitivity reactions","Hypersensitivity, severe renal impairment, MAO inhibitor therapy","IOP, ocular allergy, renal function, blood pressure"
Bimaday LS,Bimatoprost,Microlabs Ltd.,"Cystoid macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to bimatoprost or formulation components,"Intraocular pressure (IOP), iris pigmentation, eyelash changes, ocular inflammation"
Laprost,Latanoprst,Microlabs Ltd.,"Macular edema, herpetic keratitis reactivation, uveitis",Hypersensitivity to latanoprost,"IOP, optic nerve status, iris pigmentation, ocular inflammation"
Lopres,Timolol,Microlabs Ltd.,"Bronchospasm, severe bradycardia, hypotension, heart block, worsening heart failure","Bronchial asthma, severe COPD, sinus bradycardia, second/third-degree AV block, overt cardiac failure","IOP, heart rate, blood pressure, respiratory function"
Misopt,Dorzolamide+ Timolol,Microlabs Ltd.,"Bronchospasm, severe bradycardia, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)","Asthma, severe COPD, sinus bradycardia, AV block, severe renal impairment (CrCl <30 mL/min), sulfonamide hypersensitivity","IOP, renal function (when clinically indicated), heart rate, blood pressure, respiratory status, ocular irritation"
Monosopt,Dorzolamide,Microlabs Ltd.,"Stevens–Johnson syndrome (rare), toxic epidermal necrolysis, corneal edema","Severe renal impairment (CrCl <30 mL/min), sulfonamide hypersensitivity","IOP, renal function (if indicated), ocular irritation, corneal status"
Rimonid,Brimonidine,Microlabs Ltd.,"Severe hypersensitivity, hypotension, CNS depression (rare)","Neonates and infants (<2 years), MAO inhibitor therapy, hypersensitivity","IOP, blood pressure, ocular allergy, CNS effects"
Travo Z,Travoprost,Microlabs Ltd.,"Macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to travoprost or excipients,"IOP, iris pigmentation, ocular surface changes, signs of inflammation"
Trisopt,Brinzolamide+ Brimonidine+ Timolol,Microlabs Ltd.,"Bronchospasm, severe bradycardia, hypotension, severe ocular allergy, hypersensitivity reactions","Asthma, severe COPD, sinus bradycardia, AV block, severe renal impairment, MAO inhibitor therapy, hypersensitivity","IOP, heart rate, blood pressure, respiratory function, renal function, ocular allergy"
Brimonist,Brimonidine,Neiss Laboratories,"Severe hypersensitivity, hypotension, CNS depression (rare)","Neonates and infants (<2 years), MAO inhibitor therapy, hypersensitivity","IOP, blood pressure, ocular allergy, CNS effects"
Brinmide-B,Brinzolamide+ Brimonidine,Neomedix healthcare,"Severe allergic conjunctivitis, hypotension (rare), hypersensitivity reactions","Hypersensitivity, severe renal impairment, MAO inhibitor therapy","IOP, ocular allergy, renal function, blood pressure"
Dorfort-T,Dorzolmide+Timolol,Neomedix healthcare,"Bronchospasm, severe bradycardia, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)","Asthma, severe COPD, sinus bradycardia, AV block, severe renal impairment (CrCl <30 mL/min), sulfonamide hypersensitivity","IOP, renal function (when clinically indicated), heart rate, blood pressure, respiratory status, ocular irritation"
Travstar PF,Travoprost,Neomedix healthcare,"Macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to travoprost or excipients,"IOP, iris pigmentation, ocular surface changes, signs of inflammation"
Xalacom,Latanoprost + Timolol,Pfizer,"Bronchospasm, severe bradycardia, heart block, macular edema (rare)","Asthma, severe COPD, sinus bradycardia, second/third-degree AV block, hypersensitivity","IOP, heart rate, blood pressure, respiratory status, iris pigmentation"
Travipress PF,Travoprost,Protech remedies,"Macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to travoprost or excipients,"IOP, iris pigmentation, ocular surface changes, signs of inflammation"
Cosopt,Dorzolamide + Timolol,Santeen Pharmaceuticles,"Bronchospasm, severe bradycardia, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)","Asthma, severe COPD, sinus bradycardia, AV block, severe renal impairment (CrCl <30 mL/min), sulfonamide hypersensitivity","IOP, renal function (when clinically indicated), heart rate, blood pressure, respiratory status, ocular irritation"
Cosopt PF,Dorzolamide + Timolol,Santeen Pharmaceuticles,"Bronchospasm, severe bradycardia, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)","Asthma, severe COPD, sinus bradycardia, AV block, severe renal impairment (CrCl <30 mL/min), sulfonamide hypersensitivity","IOP, renal function (when clinically indicated), heart rate, blood pressure, respiratory status, ocular irritation"
Saflutan,Tafluprost,Santeen Pharmaceuticles,"Macular edema, herpetic keratitis reactivation, uveitis",Hypersensitivity to latanoprost,"IOP, optic nerve status, iris pigmentation, ocular inflammation"
Trusopt,Dorzolamide,Santeen Pharmaceuticles,"Stevens–Johnson syndrome (rare), toxic epidermal necrolysis, corneal edema","Severe renal impairment (CrCl <30 mL/min), sulfonamide hypersensitivity","IOP, renal function (if indicated), ocular irritation, corneal status"
Glustop,Dorzolmide+Timolol,Sapient Pharmaceuticles,"Bronchospasm, severe bradycardia, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)","Asthma, severe COPD, sinus bradycardia, AV block, severe renal impairment (CrCl <30 mL/min), sulfonamide hypersensitivity","IOP, renal function (when clinically indicated), heart rate, blood pressure, respiratory status, ocular irritation"
Brimosun LS,Brimonidine,Sun Pharmaceutical,"Severe hypersensitivity, hypotension, CNS depression (rare)","Neonates and infants (<2 years), MAO inhibitor therapy, hypersensitivity","IOP, blood pressure, ocular allergy, CNS effects"
Brinolar BKC Free,Brinzolamide,Sun Pharmaceutical,"Severe hypersensitivity, hypotension, CNS depression (rare)","Neonates and infants (<2 years), MAO inhibitor therapy, hypersensitivity","IOP, blood pressure, ocular allergy, CNS effects"
Careprost (Eye),Bimatoprost,Sun Pharmaceutical,"Cystoid macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to bimatoprost or formulation components,"Intraocular pressure (IOP), iris pigmentation, eyelash changes, ocular inflammation"
Diamox Tablet,Acetazolamide,Sun Pharmaceutical,"Metabolic acidosis, severe electrolyte imbalance, nephrolithiasis, aplastic anemia (rare), Stevens–Johnson syndrome (rare)","Severe renal impairment, severe hepatic disease, adrenal insufficiency, hyponatremia, hypokalemia, sulfonamide hypersensitivity","Renal function, liver function, serum electrolytes, bicarbonate, complete blood count, IOP"
Latoprost RT,Latanoprost,Sun Pharmaceutical,"Macular edema, herpetic keratitis reactivation, uveitis",Hypersensitivity to latanoprost,"IOP, optic nerve status, iris pigmentation, ocular inflammation"
Raiki,Netarsudil,Sun Pharmaceutical,"Severe hypersensitivity reactions (rare), significant corneal epithelial changes (rare)","Severe hypersensitivity reactions (rare), significant corneal epithelial changes (rare)","IOP, conjunctival hyperemia, corneal examination (for verticillata), visual acuity, ocular tolerability"
Synca,Brinzolamide+ Brimonidine,Sun Pharmaceutical,"Severe allergic conjunctivitis, hypotension (rare), hypersensitivity reactions","Hypersensitivity, severe renal impairment, MAO inhibitor therapy","IOP, ocular allergy, renal function, blood pressure"
Synca LS,Brinzolamide+ Brimonidine,Sun Pharmaceutical,"Severe allergic conjunctivitis, hypotension (rare), hypersensitivity reactions","Hypersensitivity, severe renal impairment, MAO inhibitor therapy","IOP, ocular allergy, renal function, blood pressure"
Timolet,Timolol,Sun Pharmaceutical,"Bronchospasm, severe bradycardia, hypotension, heart block, worsening heart failure","Bronchial asthma, severe COPD, sinus bradycardia, second/third-degree AV block, overt cardiac failure","IOP, heart rate, blood pressure, respiratory function"
Carpinol,Pilocarpine,Sun ways India,"Retinal detachment (rare), retinal tears, severe accommodative spasm","Active uveitis, retinal detachment risk, hypersensitivity","IOP, retinal examination, visual acuity, pupil size"
Dorsun,Dorzolamide+ Timolol,Sun ways India,"Bronchospasm, severe bradycardia, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)","Asthma, severe COPD, sinus bradycardia, AV block, severe renal impairment (CrCl <30 mL/min), sulfonamide hypersensitivity","IOP, renal function (when clinically indicated), heart rate, blood pressure, respiratory status, ocular irritation"
Travosun,Travoprost,Sun ways India,"Macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to travoprost or excipients,"IOP, iris pigmentation, ocular surface changes, signs of inflammation"
Brimoz T,Brimonidine + Timolol,Zeelab Pharmacy,"Bronchospasm, severe bradycardia, heart block, severe allergic conjunctivitis","Asthma, severe COPD, sinus bradycardia, AV block, MAO inhibitor therapy, hypersensitivity","IOP, heart rate, blood pressure, respiratory function, ocular allergy"
Ocupres,Betaxolol,Zydus Pharma,"Bradycardia, hypotension, heart block (rare), bronchospasm (less common than timolol)","Sinus bradycardia, second/third-degree AV block, overt cardiac failure, hypersensitivity","IOP, heart rate, blood pressure, respiratory symptoms"
Xalatan,Latanoprost,viatris,"Macular edema, herpetic keratitis reactivation, uveitis",Hypersensitivity to latanoprost,"IOP, optic nerve status, iris pigmentation, ocular inflammation"
